,,Average,Var
Accuracy,1dAVb,0.9709969257795344,0.0001395180345973723
Accuracy,RBBB,0.9613350900307421,0.0005096656353687913
Accuracy,LBBB,0.9879227053140096,0.00010793717472986531
Accuracy,SB,0.9806587615283267,9.026473707690419e-05
Accuracy,AF,0.9842819499341239,2.87540583124017e-06
Accuracy,ST,0.9625472112428635,0.0005710755181225481
Precision,1dAVb,0.75,0.0625
Precision,RBBB,0.6785714285714286,0.03188775510204081
Precision,LBBB,0.7676767676767676,0.027140087746148355
Precision,SB,1.0,0.0
Precision,AF,,
Precision,ST,0.75,0.0625
Recall,1dAVb,0.3416666666666667,0.06673611111111111
Recall,RBBB,0.6507936507936507,0.04257999496094734
Recall,LBBB,0.9,0.020000000000000007
Recall,SB,0.3333333333333333,0.0
Recall,AF,,
Recall,ST,0.38888888888888884,0.07716049382716049
Specificity,1dAVb,0.9962682379349047,9.146521959840355e-06
Specificity,RBBB,0.982389070699145,8.802648634728009e-05
Specificity,LBBB,0.9912837649679754,4.055592119318681e-05
Specificity,SB,0.9975757575757576,1.1753902662993723e-05
Specificity,AF,1.0,0.0
Specificity,ST,0.9987515605493135,3.117202124061543e-06
F1,1dAVb,0.4464285714285714,0.09215561224489793
F1,RBBB,0.6638655462184874,0.03735611891815549
F1,LBBB,0.8222222222222223,0.018765432098765435
F1,SB,0.5,0.0
F1,AF,,
F1,ST,0.4909090909090909,0.09553719008264464
